#
1
1065
42;1;114487;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
11;1;114487;00006192;106884;;7.50;2.000;15.00;0;416;7.50;15.00;000000000001;;2200000004819;15.00;;;0000000001;;;1/416/114487;;;;;;0;;;;;;;;;;;;
14;1;114487;00006192;106884;;000000000002;000000000002;0.00;0;416;7.50;15.00;000000000001;;2200000004819;15.00;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
16;1;114487;00006192;106884;;;2.000;0.00;0;416;7.50;15.00;000000000001;;2200000004819;;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
11;1;114487;00006192;117968;;65.00;2.000;130.00;0;416;65.00;130.00;000000000001;;2200000006165;130.00;;;0000000001;;;1/416/114487;;;;;;0;;;;;;;;;;;;
14;1;114487;00006192;117968;;000000000002;000000000002;0.00;0;416;65.00;130.00;000000000001;;2200000006165;130.00;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
16;1;114487;00006192;117968;;;2.000;0.00;0;416;65.00;130.00;000000000001;;2200000006165;;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
40;1;114487;00006192;;0000000001;0;200.00;200.00;0;416;;;0;;;0;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
43;1;114487;00006192;;0000000001;0;145.00;145.00;0;416;;;000000000001;;;;;;0000000001;;;16/19448/203;;;;;;;;;;;;;;;;;;
40;1;114487;00006192;;0000000001;0;-55.00;-55.00;0;416;;;;;;;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
49;1;114487;00006192;;;;;145.00;0;416;;;000000000001;;;;;;0000000001;;;16/19448/203;;;;;;;;;;;;;;;;;;
45;1;114487;00006192;;;;;145.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14521;3634604071;16/19448/203;;;;;;;;;;;;;;;;;;13.07.2021 18:18:00
55;1;114487;00006192;;;;4.000;145.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114487;;;;;;;;;;;;;;;;;;
42;1;114488;00006192;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
11;1;114488;00006192;106884;;7.50;1.000;7.50;0;416;7.50;7.50;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114488;;;;;;0;;;;;;;;;;;;
14;1;114488;00006192;106884;;000000000002;000000000002;0.00;0;416;7.50;7.50;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
16;1;114488;00006192;106884;;;1.000;0.00;0;416;7.50;7.50;000000000001;;2200000004819;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
11;1;114488;00006192;118172;;125.00;1.000;125.00;0;416;99.50;99.50;000000000001;;2200000006356;125.00;;;0000000001;;;1/416/114488;;;;;;0;;;;;;;;;;;;
14;1;114488;00006192;118172;;000000000002;000000000002;0.00;0;416;99.50;99.50;000000000001;;2200000006356;125.00;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
16;1;114488;00006192;118172;;;1.000;0.00;0;416;99.50;99.50;000000000001;;2200000006356;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
15;1;114488;00006192;;;2;25.50;25.50;0;416;7;5;000000000001;;;;;;0000000001;;;1/416/114488;;;;;;;;;;;;;;;;;;
11;1;114488;00006192;116763;;184.00;1.000;184.00;0;416;129.00;129.00;000000000001;;7930072250597;184.00;;;0000000001;;;1/416/114488;;;;;;0;;;;;;;;;;;;
